clause_text,clause_type
Delivery. (a) Any communication or document made or delivered by one person to another under or in connection with the Finance Documents will only be effective:,delivery
Delivery. Delivery of the Representative’s Warrant Agreement shall be made on the Closing Date and shall be issued in the name or names and in such authorized denominations as the Representative may request.,delivery
"Delivery. (a) Delivery shall be made as ordered and in accordance with the Contract. Unless otherwise specified in the Contract, delivery shall be to a loading dock or receiving platform. The Contractor or Contractor’s shipping designee shall be responsible for removal of Goods from the carrier and placement on the Client Agency loading dock or receiving platform. The receiving personnel of the Client Agency are not required to assist in this process. The decision of DAS as to reasonable compliance with delivery terms shall be final and binding. The burden of proof of proper receipt of the order shall rest with the Contractor.",delivery
"Delivery. (i) The Borrower may, at its option, provide to the Administrative Agent any information, documents and other materials that it is obligated to furnish to the Administrative Agent pursuant to the Credit Documents, including, without limitation, all notices, requests, financial statements, financial and other reports, certificates and other information materials, but excluding any such communication that (A) relates to a request for a new, or a conversion of an existing, borrowing or other extension of credit (including any election of an interest rate or interest period relating thereto), (B) relates to the payment of any principal or other amount due under this Agreement prior to the scheduled date therefor, (C) provides notice of any default or event of default under this Agreement or (D) is required to be delivered to satisfy any condition precedent to the effectiveness of this Agreement and/or any borrowing or other extension of credit thereunder (all such non-excluded communications being referred to herein collectively as “Communications”), by transmitting the Communications in an electronic/soft medium in a format reasonably acceptable to the Administrative Agent to an email address to be provided by the Administrative Agent. Nothing in this Section 14.17 shall prejudice the right of the Borrower, the Administrative Agent or any Lender to give any notice or other communication pursuant to any Credit Document in any other manner specified in such Credit Document.",delivery
"Delivery. Prices will be based on delivery at the location specified by Accenture, with all duties, tariffs, freight, insurance and other costs related to transportation and delivery being the responsibility of Supplier. Title to and risk of loss/damage for goods remain with Supplier until the goods have been delivered, inspected and accepted by Accenture. Supplier is the importer and exporter of record. Supplier agrees to provide free replacement of goods lost or damaged in transit, at no additional charge, within 3 business days of receipt of notice from Accenture. For Supplier's delivery of goods, time is of the essence. In the event Supplier does not deliver goods on time, Accenture may terminate the Agreement as provided for in Section 8.",delivery
Delivery. HP will use all commercially reasonable efforts to deliver products in a timely manner. HP may elect to deliver software and related product/license information by electronic transmission or via download.,delivery
"Delivery. Time is of the essence. Delivery of Goods shall be made pursuant to the schedule, via the carrier, and to the place specified on the face of the applicable PO. Apple reserves the right to return, shipping charges collect, all Goods received in advance of the delivery schedule. If no delivery schedule is specified, the order shall be filled promptly and delivery will be made by the most expeditious form of transportation by land or sea. If no carrier is specified in the PO, Seller shall use the least expensive carrier. In the event Seller fails to deliver the Goods within the time specified, Apple may, at its option, decline to accept the Goods and cancel the PO without liability or may demand its allocable fair share of Seller's available Goods and cancel the balance of the PO without liability. Seller shall package all items in suitable containers to permit safe transportation and handling. Each delivered container must be labeled and marked to identify contents without opening and all boxes and packages must contain packing sheets listing contents. Apple's PO number must appear on all shipping containers, packing sheets, delivery tickets, and bills of lading. Seller will clearly identify the country of origin of all Goods delivered and will indemnify Apple with respect to any expenses, duties, penalties, damages, settlements, costs or attorney's fees incurred by Apple in connection with Seller's failure to identify or misidentification of the country of origin.",delivery
"Delivery. If the Representative so elects, delivery of the Firm Shares or the Option Shares may be made by credit through full fast transfer to the accounts at DTC designated by the Representative. Certificates representing the Firm Shares and the Option Shares in definitive form and in such denominations and registered in such names as you have set forth in your notice of option exercise, or evidence of their issuance, will be made available for checking at a reasonable time preceding the First Closing Date or the Second Closing Date, as applicable, at the office of Piper Jaffray & Co., 800 Nicollet Mall, Minneapolis, Minnesota, or such other location as may be mutually acceptable.",delivery
"Delivery. Pursuant to the Funds Escrow Agreement in the form attached hereto as Exhibit C, at the Closing on the Closing Date, the Company will deliver to the Purchaser, among other things, a Note in the form attached as Exhibit A representing the aggregate principal amount of $500,000 and a Warrant in the form attached as Exhibit B in the Purchaser's name representing 33,333 Warrant Shares and the Purchaser will deliver to the Company, among other things, the amounts set forth in the Disbursement Letter by certified funds or wire transfer.",delivery
"Delivery. The documents required to be delivered by Section 4 of this Agreement as a condition precedent to your obligation to begin soliciting offers to purchase Program Securities as agents of the Company shall be delivered at the office of Davis Polk & Wardwell, your counsel, not later than 4:00 p.m., New York City time, on the date hereof, or at such other time and/or place as you and the Company may agree upon in writing, but in no event later than the day prior to the earlier of (i) the date on which you begin soliciting offers to purchase Program Securities and (ii) the first date on which the Company accepts any offer by you to purchase Program Securities as principal. The date of delivery of such documents is referred to herein as the ""Commencement Date.""",delivery
