clause_text,clause_type
"Enforceability. If any portion or provision of this Agreement (including, without limitation, any portion or provision of any section of this Agreement) shall to any extent be declared illegal or unenforceable by a court of competent jurisdiction, then the remainder of this Agreement, or the application of such portion or provision in circumstances other than those as to which it is so declared illegal or unenforceable, shall not be affected thereby, and each portion and provision of this Agreement shall be valid and enforceable to the fullest extent permitted by law.",enforceability
"Enforceability. Any term or provision of this Agreement which is invalid or unenforceable in any jurisdiction shall, as to such jurisdiction be ineffective to the extent of such invalidity or unenforceability without rendering invalid or unenforceable the remaining terms or provisions of this Agreement or affecting the validity or enforceability of any of the terms or provisions of this Agreement in any other jurisdiction.",enforceability
"Enforceability. The Assignee hereto represents and warrants that this Assignment Agreement has been duly authorized, executed and delivered by it and (assuming due authorization, execution and delivery thereof by each of the other parties hereto) constitutes its legal, valid and binding obligation, enforceable in accordance with its terms, except as such enforcement may be limited by bankruptcy, insolvency, reorganization or other similar laws affecting the enforcement of creditors' rights generally and by general equitable principles (regardless of whether such enforcement is considered in a proceeding in equity or at law).",enforceability
"Enforceability. The execution and delivery of this Credit Agreement and the other Loan Documents to which the Borrower or any of its Subsidiaries is or is to become a party will result in valid and legally binding obligations of such Person enforceable against it in accordance with the respective terms and provisions hereof and thereof, except as enforceability is limited by bankruptcy, insolvency, reorganization, moratorium or other laws relating to or affecting generally the enforcement of creditors' rights and except to the extent that availability of the remedy of specific performance or injunctive relief is subject to the discretion of the court before which any proceeding therefor may be brought.",enforceability
"Enforceability. Should any one or more of the provisions of this Amendment be determined to be illegal or unenforceable as to one or more of the parties hereto, all other provisions nevertheless shall remain effective and binding on the parties hereto.",enforceability
"Enforceability. This Agreement has been duly executed and delivered by Holdings and the Borrower and constitutes, and each other Loan Document when executed and delivered by each Loan Party that is party thereto will constitute, a legal, valid and binding obligation of such Loan Party enforceable against each such Loan Party in accordance with its terms, subject to (i) the effects of bankruptcy, insolvency, moratorium, reorganization, fraudulent conveyance or other similar laws affecting creditors’ rights generally, (ii) general principles of equity (regardless of whether such enforceability is considered in a proceeding in equity or at law) and (iii) implied covenants of good faith and fair dealing.",enforceability
"Enforceability. This Agreement, when executed and delivered by the Company in accordance with the provisions hereof, shall be a legal, valid and binding obligation of the Company, enforceable against the Company in accordance with its terms, except as such enforceability may be limited by applicable bankruptcy, insolvency, moratorium, reorganization or similar laws affecting the enforcement of creditors’ rights generally.",enforceability
"Enforceability. This Note Purchase Agreement constitutes the legal, valid and binding obligation of the Company, enforceable against it in accordance with its terms, except as the same may be limited by applicable bankruptcy, insolvency, reorganization, moratorium or similar laws affecting the rights of creditors generally and by general principles of equity, whether considered in a proceeding at law or in equity.",enforceability
"Enforceability. The Loan Documents are not subject to any right of rescission, set-off, counterclaim or defense by Borrower, including the defense of usury, nor would the operation of any of the terms of the Loan Documents, or the exercise of any right thereunder, render the Loan Documents unenforceable, and Borrower has not asserted any right of rescission, set-off, counterclaim or defense with respect thereto.",enforceability
"Enforceability. Wherever possible, each provision of this Agreement shall be interpreted in such manner as to be effective and valid under applicable law, but if any provision of this Agreement shall be prohibited by, unenforceable or invalid under any jurisdiction, such provision shall as to such jurisdiction, be severable and be ineffective to the extent of such prohibition or invalidity, without invalidating the remaining provisions of this Agreement or affecting the validity or enforceability of such provision in any other jurisdiction.",enforceability
