clause_text,clause_type
"Entire Agreement. The Transaction Documents, together with the exhibits and schedules thereto, contain the entire understanding of the parties with respect to the subject matter hereof and supersede all prior agreements and understandings, oral or written, with respect to such matters, which the parties acknowledge have been merged into such documents, exhibits and schedules.",entire-agreement
"Entire Agreement. This Agreement contains the entire agreement and understanding among the parties hereto with respect to the subject matter hereof, and supersedes all prior and contemporaneous agreements, understandings, inducements and conditions, express or implied, oral or written, of any nature whatsoever with respect to the subject matter hereof. The express terms hereof control and supersede any course of performance and/or usage of the trade inconsistent with any of the terms hereof.",entire-agreement
"Entire Agreement. This Agreement constitutes the entire agreement between the parties with respect to the subject matter hereof and supersedes all other prior agreements and understandings, both written and oral, between the parties with respect to the subject matter hereof.",entire-agreement
"Entire Agreement. This Agreement (together with the other agreements and documents being delivered pursuant to or in connection with this Agreement) constitute the entire agreement of the parties hereto with respect to the subject matter hereof and thereof, and supersede all prior agreements and understandings of the parties, oral and written, with respect to the subject matter hereof.",entire-agreement
"Entire Agreement. This DPA constitutes the entire agreement of the parties relating to the subject matter hereof and supersedes all prior communications, representations, or agreements, oral or written, by the parties relating thereto. This DPA may be amended and the observance of any provision of this DPA may be waived (either generally or in any particular instance and either retroactively or prospectively) only with the signed written consent of both parties. Neither failure nor delay on the part of any party in exercising any right, power, or privilege hereunder shall operate as a waiver of such right, nor shall any single or partial exercise of any such right, power, or privilege preclude any further exercise thereof or the exercise of any other right, power, or privilege.",entire-agreement
"Entire Agreement. This Agreement constitutes the entire agreement between the parties hereto with respect to the subject matter contained in this Agreement and supersedes all prior agreements, understandings and negotiations between the parties.",entire-agreement
"Entire Agreement. This Agreement is intended by the parties as a final expression of their agreement and intended to be a complete and exclusive statement of the agreement and understanding of the parties hereto in respect of the subject matter contained herein. There are no restrictions, promises, warranties or undertakings, other than those set forth or referred to herein with respect to the registration rights granted with respect to the Transfer Restricted Securities. This Agreement supersedes all prior agreements and understandings between the parties with respect to such subject matter.",entire-agreement
"Entire Agreement. This Agreement (including the documents referred to herein) constitutes the entire agreement among the Parties and supersedes any prior understandings, agreements, or representations by or among the Parties, written or oral, to the extent they related in any way to the subject matter hereof.",entire-agreement
"Entire Agreement. This Agreement constitutes the entire agreement of the parties hereto with respect to the subject matter hereof, and supersedes all prior agreements and understandings of the parties, oral and written, with respect to the subject matter hereof.",entire-agreement
"Entire Agreement. THIS AGREEMENT AND THE OTHER LOAN DOCUMENTS REPRESENT THE FINAL AGREEMENT AMONG THE PARTIES AND MAY NOT BE CONTRADICTED BY EVIDENCE OF PRIOR, CONTEMPORANEOUS, OR SUBSEQUENT ORAL AGREEMENTS OF THE PARTIES. THERE ARE NO UNWRITTEN ORAL AGREEMENTS AMONG THE PARTIES.",entire-agreement
