clause_text,clause_type
"Exclusions. The Warrant Agent shall have no responsibility with respect to the validity of this Agreement or with respect to the validity or execution of any Warrant (except its countersignature thereof). The Warrant Agent shall not be responsible for any breach by the Company of any covenant or condition contained in this Agreement or in any Warrant. The Warrant Agent shall not be responsible to make any adjustments required under the provisions of Section 4 hereof or responsible for the manner, method, or amount of any such adjustment or the ascertaining of the existence of facts that would require any such adjustment; nor shall it by any act hereunder be deemed to make any representation or warranty as to the authorization or reservation of any shares of Common Stock to be issued pursuant to this Agreement or any Warrant or as to whether any shares of Common Stock shall, when issued, be valid and fully paid and non-assessable.",exclusions
"Exclusions. Notwithstanding any provision in this Agreement, the Company shall not be obligated under this Agreement to make any indemnification, advance expenses, hold harmless or exoneration payment in connection with any claim made against Indemnitee:",exclusions
"Exclusions. Notwithstanding any provision in this Agreement, the Company shall not be obligated under this Agreement to make any indemnity in connection with any claim made against Indemnitee:",exclusions
Exclusions. All financial contracts used to hedge assets and liabilities that are acquired by the Assuming Institution but are not subject to adjustment from Book Value.,exclusions
"Exclusions. Notwithstanding any provision in this Agreement, the Company shall not be obligated under this Agreement to make any indemnity in connection with any Proceeding (or any part of any Proceeding):",exclusions
"Exclusions. Notwithstanding any provision in this Agreement to the contrary, the Company shall not be obligated under this Agreement:",exclusions
"Exclusions. The following matters shall be excluded from the mediation and arbitration: (i) a judicial or non-judicial foreclosure or other action or proceeding to enforce a deed, mortgage or installment land sale contract as defined in accordance with State law; (ii) an unlawful detainer action, forcible entry detainer, eviction action, or equivalent; (iii) the filing or enforcement of a mechanic’s lien; and (iv) any matter that is within the jurisdiction of a probate, small claims or bankruptcy court. The filing of a court action to enable the recording of a notice of pending action, for order of attachment, receivership, injunction, or other provisional remedies, shall not constitute a waiver or violation of the mediation and arbitration provisions of this Section.",exclusions
"Exclusions. The provisions of this Section 11 respecting Confidential Information shall not apply to the extent, but only to the extent, that such Confidential Information: (a) is already known to the Receiving Party free of any restriction at the time it is obtained from the Disclosing Party, (b) is subsequently learned from an independent third party free of any restriction and without breach of this Agreement; (c) is or becomes publicly available through no wrongful act of the Receiving Party or any third party; (d) is independently developed by or for the Receiving Party without reference to or use of any Confidential Information of the Disclosing Party; or (e) is required to be disclosed pursuant to an applicable law, rule, regulation, government requirement or court order, or the rules of any stock exchange (provided, however, that the Receiving Party shall advise the Disclosing Party of such required disclosure promptly upon learning thereof in order to afford the Disclosing Party a reasonable opportunity to contest, limit and/or assist the Receiving Party in crafting such disclosure).",exclusions
"Exclusions. Confidential Information does not include information permitted to be disclosed under section 5 and any information that the Receiving Party can demonstrate by written records: (a) was known to the Receiving Party prior to its disclosure hereunder by the disclosing party; (b) is independently developed by the Receiving Party; (c) is or becomes publicly known through no wrongful act of the Receiving Party; (d) has been rightfully received from a third party whom the Receiving party has reasonable grounds to believe is authorized to make such disclosure without restriction; (e) has been approved for public release by the Disclosing Party's prior written authorization, or (f) must be produced or disclosed pursuant to applicable law, regulation or court order, provided that the receiving party provides prompt advance notice thereof to enable the disclosing party to seek a protective order or otherwise prevent such disclosure. In addition, Reseller and MediaNet Group Technologies may disclose the existence and terms of this Agreement in connection with a potential acquisition of substantially the entire business of the other party, or a private or public offering of securities of either party.",exclusions
Exclusions. A. This Contract does not apply to and specifically excludes the following:,exclusions
"Exclusions. Notwithstanding any provision in this Agreement, the Corporation shall not be obligated under this Agreement to indemnify or hold harmless Indemnitee:",exclusions
"Exclusions. No payment will be required pursuant to clause (b) of Section 16.3 in the event of any transaction consisting of (a) the liquidation or dissolution of a Fund or a Portfolio and distribution of the Fund’s or Portfolio’s assets as a result of the Board’s determination in its reasonable business judgment that the Fund or Portfolio is no longer viable, (b) a merger of a Fund or Portfolio into, or the consolidation of a Fund or Portfolio with, another organization or series, or (c) the sale by a Fund or Portfolio of all or substantially all of its assets to another organization or series and, in the case of a transaction referred to in the foregoing clause (b) or (c) the Custodian is retained to continue providing services to the Fund or Portfolio (or its respective successor) on substantially the same terms as this Agreement.",exclusions
"Exclusions. Notwithstanding any provision in this Agreement, the Company is not obligated under this Agreement to make any indemnification payment to Indemnitee in connection with any Proceeding:",exclusions
"Exclusions. Notwithstanding anything in this Agreement to the contrary, Indemnitee shall not be entitled to indemnification under this Agreement:",exclusions
"Exclusions. Notwithstanding any provision in this Agreement, the Company shall not be obligated under this Agreement to indemnify or hold harmless Indemnitee, or, in the case of (a) and (c), to advance Expenses to Indemnitee:",exclusions
Exclusions. The following Personal Data is not subject to 9.2 and 9.3:,exclusions
"Exclusions. EXCEPT AS SPECIFIED IN SECTIONS 6.1 AND 6.2, IN NO EVENT WILL EXODUS BE LIABLE TO CUSTOMER, ANY REPRESENTATIVE, OR ANY THIRD PARTY FOR ANY CLAIMS ARISING OUT OF OR RELATED TO THIS AGREEMENT, CUSTOMER EQUIPMENT, CUSTOMER'S BUSINESS OR OTHERWISE, AND ANY LOST REVENUE, LOST PROFITS, REPLACEMENT GOODS, LOSS OF TECHNOLOGY, RIGHTS OR SERVICES, INCIDENTAL, PUNITIVE, INDIRECT OR CONSEQUENTIAL DAMAGES, LOSS OF DATA, OR INTERRUPTION OR LOSS OF USE OF SERVICE OR OF ANY CUSTOMER EQUIPMENT OR CUSTOMER'S BUSINESS, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES, WHETHER UNDER THEORY OF CONTRACT, TORT (INCLUDING NEGLIGENCE), STRICT LIABILITY OR OTHERWISE.",exclusions
Exclusions. Indemnitee will not be entitled to any Expense Advance in connection with any of the matters for which indemnity is excluded pursuant to Section 3.4.,exclusions
"Exclusions. Notwithstanding any other provision of this Agreement, the Company will not be obligated under this Agreement to provide indemnification in connection with the following:",exclusions
