clause_text,clause_type
"ERISA. (i) An ERISA Event occurs with respect to a Pension Plan or Multiemployer Plan which has resulted or could reasonably be expected to result in liability of the Borrower under Title IV of ERISA to the Pension Plan, Multiemployer Plan or the PBGC in an aggregate amount in excess of the Threshold Amount, or (ii) the Borrower or any ERISA Affiliate fails to pay when due, after the expiration of any applicable grace period, any installment payment with respect to its withdrawal liability under Section 4201 of ERISA under a Multiemployer Plan in an aggregate amount in excess of the Threshold Amount; or",erisa
"ERISA. No ERISA Event has occurred or is reasonably expected to occur that, when taken together with all other such ERISA Events for which liability is reasonably expected to occur, could reasonably be expected to result in a Material Adverse Effect.",erisa
"ERISA. Neither a Reportable Event nor an “accumulated funding deficiency” (within the meaning of Section 412 of the Code or Section 302 of ERISA) has occurred during the five-year period prior to the date on which this representation is made or deemed made with respect to any Plan, and each Plan has complied in all material respects with the applicable provisions of ERISA and the Code. No termination of a Single Employer Plan has occurred, and no Lien in favor of the PBGC or a Plan has arisen, during such five-year period. The present value of all accrued benefits under each Single Employer Plan (based on those assumptions used to fund such Plans) did not, as of the last annual valuation date prior to the date on which this representation is made or deemed made, exceed the value of the assets of such Plan allocable to such accrued benefits by a material amount. Neither the Borrower nor any Commonly Controlled Entity has had a complete or partial withdrawal from any Multiemployer Plan that has resulted or could reasonably be expected to result in a material liability under ERISA, and neither the Borrower nor any Commonly Controlled Entity would become subject to any material liability under ERISA if the Borrower or any such Commonly Controlled Entity were to withdraw completely from all Multiemployer Plans as of the valuation date most closely preceding the date on which this representation is made or deemed made. No such Multiemployer Plan is in Reorganization or Insolvent.",erisa
"ERISA. No ERISA Event has occurred or is reasonably expected to occur that, when taken together with all other such ERISA Events for which liability is reasonably expected to occur, could reasonably be expected to result in a Material Adverse Effect. The present value of all accumulated benefit obligations under each Plan (based on the assumptions used for purposes of Statement of Financial Accounting Standards No. 87) did not, as of the date of the most recent financial statements reflecting such amounts, exceed by more than $10,000,000 the fair market value of the assets of such Plan, and the present value of all accumulated benefit obligations of all underfunded Plans (based on the assumptions used for purposes of Statement of Financial Accounting Standards No. 87) did not, as of the date of the most recent financial statements reflecting such amounts, exceed by more than $10,000,000 the fair market value of the assets of all such underfunded Plans.",erisa
"ERISA. No ERISA Event has occurred or is reasonably expected to occur that, when taken together with all other such ERISA Events for which liability is reasonably expected to occur, could reasonably be expected to result in a Material Adverse Effect. The present value of all accumulated benefit obligations under each Plan (based on the assumptions used for purposes of Statement of Financial Accounting Standards No. 87) did not, as of the date of the most recent financial statements reflecting such amounts, exceed the fair market value of the assets of such Plan.",erisa
"ERISA. To the knowledge of the Company, each material employee benefit plan, within the meaning of Section 3(3) of the Employee Retirement Income Security Act of 1974, as amended (“ERISA”), that is maintained, administered or contributed to by the Company or any of its affiliates for employees or former employees of the Company and any of its Subsidiaries has been maintained in material compliance with its terms and the requirements of any applicable statutes, orders, rules and regulations, including but not limited to ERISA and the Internal Revenue Code of 1986, as amended (the “Code”); no prohibited transaction, within the meaning of Section 406 of ERISA or Section 4975 of the Code, has occurred which would result in a material liability to the Company with respect to any such plan excluding transactions effected pursuant to a statutory or administrative exemption; and for each such plan that is subject to the funding rules of Section 412 of the Code or Section 302 of ERISA, no “accumulated funding deficiency” as defined in Section 412 of the Code has been incurred, whether or not waived, and the fair market value of the assets of each such plan (excluding for these purposes accrued but unpaid contributions) exceeds the present value of all benefits accrued under such plan determined using reasonable actuarial assumptions.",erisa
"ERISA. (a) Borrower shall not engage in any transaction which would cause any obligation, or action taken or to be taken, hereunder (or the exercise by Lender of any of its rights under the Note, this Agreement or the other Loan Documents) to be a non-exempt (under a statutory or administrative class exemption) prohibited transaction under ERISA.",erisa
"ERISA. Upon the Borrower or any ERISA Affiliate obtaining knowledge thereof, the Borrower will give written notice to the Administrative Agent promptly (and in any event within ten days) of any of the following which would result in or reasonably would be expected to result in a Material Adverse Effect: (i) any event or condition, including, but not limited to, any Reportable Event, that constitutes, or would be reasonably expected to lead to, an ERISA Event; (ii) with respect to any Multiemployer Plan, the receipt of notice as prescribed in ERISA or otherwise of any withdrawal liability assessed against the Borrower or any of its ERISA Affiliates, or of a determination that any Multiemployer Plan is in reorganization or insolvent (both within the meaning of Title IV of ERISA); (iii) the failure to make full payment on or before the due date (including extensions) thereof of all amounts which the Borrower or any of its Subsidiaries or ERISA Affiliates is required to contribute to each Plan pursuant to its terms and as required to meet the minimum funding standard set forth in ERISA and the Code with respect thereto; or (iv) a change in the funding status of any Plan, in each case together with a description of any such event or condition or a copy of any such notice and a statement by an officer of the Borrower briefly setting forth the details regarding such event, condition, or notice, and the action, if any, which has been or is being taken or is proposed to be taken with respect thereto. Promptly upon request, the Borrower shall furnish the Lenders with such additional information concerning any Plan as may be reasonably requested, including, but not limited to, copies of each annual report/return (Form 5500 series), as well as all schedules and attachments thereto required to be filed with the Department of Labor and/or the Internal Revenue Service pursuant to ERISA and the Code, respectively, for each “plan year” (within the meaning of Section 3(39) of ERISA).",erisa
"ERISA. The Company is in compliance in all material respects with all presently applicable provisions of the Employee Retirement Income Security Act of 1974, as amended, including the regulations and published interpretations thereunder (“ERISA”); no “reportable event” (as defined in ERISA) has occurred with respect to any “pension plan” (as defined in ERISA) for which the Company would have any liability; the Company has not incurred and does not expect to incur liability under (i) Title IV of ERISA with respect to termination of, or withdrawal from, any “pension plan” or (ii) Sections 412 or 4971 of the Internal Revenue Code of 1986, as amended, including the regulations and published interpretations thereunder (the “Code”); and each “pension plan” for which the Company would have any liability that is intended to be qualified under Section 401(a) of the Code is so qualified in all material respects and nothing has occurred, whether by action or by failure to act, which would cause the loss of such qualification.",erisa
"ERISA. (i) An ERISA Event occurs with respect to a Pension Plan or Multiemployer Plan which has resulted or could reasonably be expected to result in liability of any Loan Party under Title IV of ERISA to the Pension Plan, Multiemployer Plan or the PBGC in an aggregate amount in excess of $5,000,000 or which would reasonably likely result in a Material Adverse Effect, or (ii) a Loan Party or any ERISA Affiliate fails to pay when due, after the expiration of any applicable grace period, any installment payment with respect to its withdrawal liability under Section 4201 of ERISA under a Multiemployer Plan in an aggregate amount in excess of $5,000,000 or which would reasonably likely result in a Material Adverse Effect; or",erisa
