clause_text,clause_type
"Entire Agreement; Amendments. This Agreement and the instruments referenced herein contain the entire understanding of the parties with respect to the matters covered herein and therein and, except as specifically set forth herein or therein, neither the Company nor the Buyer makes any representation, warranty, covenant or undertaking with respect to such matters. No provision of this Agreement may be waived or amended other than by an instrument in writing signed by the majority in interest of the Buyer.",entire-agreement-amendments
"Entire Agreement; Amendments. This Agreement supersedes all other prior oral or written agreements between the Buyer(s), the Company, their affiliates and persons acting on their behalf with respect to the matters discussed herein, and this Agreement and the instruments referenced herein contain the entire understanding of the parties with respect to the matters covered herein and therein and, except as specifically set forth herein or therein, neither the Company nor any Buyer makes any representation, warranty, covenant or undertaking with respect to such matters. No provision of this Agreement may be waived or amended other than by an instrument in writing signed by the party to be charged with enforcement.",entire-agreement-amendments
"Entire Agreement; Amendments. This Agreement contains the entire understanding of the parties with respect to the employment of Executive by the Company. There are no restrictions, agreements, promises, warranties, covenants or undertakings between the parties with respect to the subject matter herein other than those expressly set forth herein. This Agreement may not be altered, modified, or amended except by written instrument signed by the parties hereto.",entire-agreement-amendments
"Entire Agreement; Amendments. This Agreement contains the entire agreement between the parties with respect to the subject matter hereof and supersedes all prior agreements and understandings, oral or written, between the parties hereto with respect to the subject matter hereof. This Agreement may not be amended orally, but only by an agreement in writing signed by the parties hereto.",entire-agreement-amendments
"Entire Agreement; Amendments. This Agreement and the other Transaction Documents supersede all other prior oral or written agreements between the Buyers, the Company, their affiliates and Persons acting on their behalf with respect to the matters discussed herein, and this Agreement, the other Transaction Documents and the instruments referenced herein and therein contain the entire understanding of the parties with respect to the matters covered herein and therein and, except as specifically set forth herein or therein, neither the Company nor any Buyer makes any representation, warranty, covenant or undertaking with respect to such matters. No provision of this Agreement may be amended other than by an instrument in writing signed by the Company and the holders of at least a majority of the aggregate number of Registrable Securities issued and issuable hereunder, and any amendment to this Agreement made in conformity with the provisions of this Section 9(e) shall be binding on all Buyers and holders of Securities, as applicable. No provision hereof may be waived other than by an instrument in writing signed by the party against whom enforcement is sought. No such amendment shall be effective to the extent that it applies to less than all of the holders of the applicable Securities then outstanding. No consideration shall be offered or paid to any Person to amend or consent to a waiver or modification of any provision of any of the Transaction Documents unless the same consideration also is offered to all of the parties to the Transaction Documents, holders of Notes or holders of the Warrants, as the case may be. The Company has not, directly or indirectly, made any agreements with any Buyers relating to the terms or conditions of the transactions contemplated by the Transaction Documents except as set forth in the Transaction Documents. Without limiting the foregoing, the Company confirms that, except as set forth in this Agreement, no Buyer has made any commitment or promise or has any other obligation to provide any financing to the Company or otherwise.",entire-agreement-amendments
"Entire Agreement; Amendments. This Exchange and Registration Rights Agreement and the other writings referred to herein (including the Indenture and the form of Securities) or delivered pursuant hereto which form a part hereof contain the entire understanding of the parties with respect to its subject matter. This Exchange and Registration Rights Agreement supersedes all prior agreements and understandings between the parties with respect to its subject matter. This Exchange and Registration Rights Agreement may be amended and the observance of any term of this Exchange and Registration Rights Agreement may be waived (either generally or in a particular instance and either retroactively or prospectively) only by a written instrument duly executed by the Company and the holders of at least a majority in aggregate principal amount of the Registrable Securities at the time outstanding. Each holder of any Registrable Securities at the time or thereafter outstanding shall be bound by any amendment or waiver effected pursuant to this Section 9(h), whether or not any notice, writing or marking indicating such amendment or waiver appears on such Registrable Securities or is delivered to such holder.",entire-agreement-amendments
"Entire Agreement; Amendments. Except as otherwise provided herein, this Release contains the entire agreement and understanding of the parties hereto relating to the subject matter hereof, and merges and supersedes all prior and contemporaneous discussions, agreements and understandings of every nature relating to the subject matter hereof. This Release may not be changed or modified, except by an agreement in writing signed by each of the parties hereto.",entire-agreement-amendments
"Entire Agreement; Amendments. This Agreement constitutes the entire agreement and understanding of the parties hereto in respect of the subject matter hereof, and supersedes and replaces in their entirety any prior proposals, term sheets, letters, negotiations or other documents or agreements, whether written or oral, with respect to the subject matter hereof. None of the terms of this Agreement may be amended except by an instrument executed by each of the parties hereto.",entire-agreement-amendments
"Entire Agreement; Amendments. This Agreement constitutes the entire agreement between the parties hereto and supersedes any prior agreement, draft or proposal with respect to the subject matter hereof. This Agreement or any part hereof may be changed or waived only by an instrument in writing signed by the party against which enforcement of such change or waiver is sought.",entire-agreement-amendments
"Entire Agreement; Amendments. This Agreement and the Exhibits and Schedules referred to herein and the documents delivered pursuant hereto contain the entire understanding of the parties hereto with regard to the subject matter contained herein or therein, and supersede all prior agreements, understandings or letters of intent between or among any of the parties hereto. This Agreement shall not be amended, modified or supplemented except by a written instrument signed by an authorized representative of each of the parties hereto.",entire-agreement-amendments
"Entire Agreement; Amendments. This Agreement contains the entire agreement and supersedes all prior agreements and understandings, oral or written, between the parties hereto with respect to the subject matter hereof. This Agreement may not be changed orally, but only by an agreement in writing signed by the party against whom any waiver, change, amendment, modification or discharge is sought.",entire-agreement-amendments
