clause_text,clause_type
"Employee Benefit Plans. SCHEDULE 2.15 sets forth an accurate schedule showing all employee benefit plans of Company, including all agreements or arrangements (other than agreements or arrangements set forth on SCHEDULE 2.14) containing ""golden parachute"" or other similar provisions, and deferred compensation agreements, together with true, complete and correct copies of such plans, agreements and any trusts related thereto, and classifications of employees covered thereby as of the Balance Sheet Date. Except for the employee benefit plans, if any, described on SCHEDULE 2.15, the Company does not sponsor, maintain or contribute to any plan, program, fund or arrangement that constitutes an ""employee pension benefit plan,"" nor does the Company have any obligation to contribute to or accrue or pay any benefits under any deferred compensation or retirement funding arrangement on behalf of any employee or employees (such as, for example, and without limitation, any individual retirement account or annuity, any ""excess benefit plan"" (within the meaning of Section 3(36) of the Employee Retirement Income Security Act of 1974, as amended (""ERISA"")), or any non-qualified deferred compensation arrangement). For the purposes of this Agreement, the term ""employee pension benefit plan"" shall have the same meaning as is given that term in Section 3(2) of ERISA. The Company has not sponsored, maintained or contributed to any employee pension benefit plan and is not required to contribute to any retirement plan pursuant to the provisions of any collective bargaining agreement establishing the terms and conditions of employment of any of the Company's employees other than the plans set forth on SCHEDULE 2.15. The Company is not now, and will not as a result of its past activities become, liable to the Pension Benefit Guaranty Corporation (the ""PBGC"") or to any multi employer employee pension benefit plan under the provisions of Title IV of ERISA. All employee benefit plans listed on SCHEDULE 2.15 and the administration thereof are in substantial compliance with their terms and all applicable provisions of ERISA and the regulations issued thereunder, as well as with all other applicable federal, state and local statutes, ordinances and regulations. All accrued contribution obligations of the Company with respect to any plan listed on SCHEDULE 2.15 have either been fulfilled in their entirety or are fully reflected on the balance sheet of the Company as of the Balance Sheet Date. All plans listed on ...",employee-benefit-plans
"Employee Benefit Plans. Except as could not reasonably be expected to result, either individually or in the aggregate, in a Material Adverse Effect, (i) each Employee Benefit Plan and Foreign Pension Plan (and each related trust, insurance contract or fund) has been documented, funded and administered in compliance with all applicable Laws, including, without limitation, ERISA and the Code; (ii) the sponsor or adopting employer of each Employee Benefit Plan which is intended to qualify under Section 401(a) of the Code has received or timely applied for a favorable determination letter, or is entitled to rely on a favorable opinion letter, as applicable, from the IRS indicating that such Employee Benefit Plan is so qualified and nothing has occurred subsequent to the issuance of such determination letter or opinion letter which would cause such Employee Benefit Plan to lose its qualified status; (iii) no liability to the PBGC (other than required premium payments), the IRS, any Employee Benefit Plan or any Trust established under Title IV of ERISA has been or is expected to be incurred by any ERISA Party (other than contributions made to an Employee Benefit Plan or such Trust or expenses paid on their behalf, in each case in the ordinary course); (iv) no ERISA Event has occurred or is reasonably expected to occur; (v) the present value of the aggregate benefit liabilities under each Pension Plan (determined as of the end of the most recent plan year on the basis of the actuarial assumptions specified for funding purposes in the most recent actuarial valuation for such Pension Plan) did not exceed the aggregate current value of the assets of such Pension Plan; (vi) no ERISA Party is in “default” (as defined in Section 4219(c)(5) of ERISA) with respect to payments to a Multiemployer Plan; (vii) no ERISA Party has incurred any obligation in connection with the termination of, or withdrawal from, any Foreign Pension Plan; and (viii) the present value of the accrued benefit liabilities (whether or not vested) under each Foreign Pension Plan, determined as of the end of Holdings’ and the Borrowers’ most recently ended Fiscal Year for which audited financial statements are available on the basis of the actuarial assumptions described in Holdings’ audited financial statements for such Fiscal Year, did not exceed the aggregate of (A) the current value of the assets of such Foreign Pension Plan allocable to such benefit liabilities and (B) the amount then reserved on Holdings’ consolidated ...",employee-benefit-plans
"Employee Benefit Plans. (a) Section 3.9(a) of the Company Disclosure Schedule lists all material (i) employee benefit plans, programs and policies (including, for the avoidance of doubt, retirement benefit schemes) maintained by, sponsored or participated in by the Company and its Subsidiaries in which any current or former employees or directors of the Company or its Subsidiaries participate, except to the extent providing benefits imposed or implied by applicable foreign Law (collectively, the “Company Plans”), and (ii) contracts, offer letters and agreements of the Company or its Subsidiaries with or addressed to any individual who is rendering or has rendered services thereto as an employee or consultant pursuant to which the Company or any of its Subsidiaries has an obligation to provide compensation and/or benefits in consideration for past, present, or future services (a “Company Individual Agreement”). The Company Disclosure Schedule identifies each Plan that is intended to be a “qualified plan” within the meaning of Section 401(a) of the Code (“Company Qualified Plans”).",employee-benefit-plans
"Employee Benefit Plans. (a) Section 3.17(a) of the Company Disclosure Letter contains a correct and complete list identifying each material Employee Plan that the Company or any of its Subsidiaries sponsors, maintains or contributes to, or is required to maintain or contribute to, for the benefit of any current or former director, officer, employee or individual consultant (or any dependent or beneficiary thereof) of the Company or any of its Subsidiaries or under or with respect to which the Company or any of its Subsidiaries has any current or contingent material liability or obligation, but excluding Multiemployer Plans (the “Company Plan”). For purposes of this Agreement, “Employee Plan” means each “employee benefit plan” within the meaning of ERISA Section 3(3), whether or not subject to ERISA, including, but not limited to, all equity or equity-based, change in control, bonus or other incentive compensation, disability, salary continuation, employment, consulting, indemnification, severance, retention, retirement, pension, profit sharing, savings or thrift, deferred compensation, health or life insurance, welfare, employee discount or free product, vacation, sick pay or paid time off agreements, arrangements, programs, plans or policies, and each other material benefit or compensation plan, program, policy, Contract, agreement or arrangement, whether written or unwritten.",employee-benefit-plans
"Employee Benefit Plans. (a) Section 3.14(a) of the Company Disclosure Schedule lists, with respect to the Company, any Subsidiary of the Company and any trade or business (whether or not incorporated) which is treated as a single employer with the Company (an ""ERISA Affiliate"") within the meaning of Section 414(b), (c), (m) or (o) of the Internal Revenue Code, (i) all material employee benefit plans (as defined in Section 3(3) of the Employee Retirement Income Security Act of 1974, as amended (""ERISA"")), (ii) any such employee benefit plan that has been adopted, maintained, contributed to, or required to be contributed to by the Company or any Subsidiary, whether formally or informally, for the benefit of employees outside the United States; (iii) each loan to a non-officer employee in excess of fifty thousand dollars ($50,000), loans to officers and directors and any stock option, stock purchase, phantom stock, stock appreciation right, supplemental retirement, severance, sabbatical, medical, dental, vision care, disability, employee relocation, cafeteria benefit (Internal Revenue Code Section 125) or dependent care (Internal Revenue Code Section 129), life insurance or accident insurance plans, programs or arrangements; (iv) all bonus, pension, profit sharing, savings, deferred compensation or incentive plans, programs or arrangements; (v) other fringe or employee benefit plans, programs or arrangements that apply to senior management of the Company and that do not generally apply to all employees; and (vi) any current or former employment or executive compensation or severance agreements, written or otherwise, as to which unsatisfied obligations of the Company of greater than fifty thousand dollars ($50,000) remain for the benefit of, or relating to, any present or former employee, consultant or director of the Company (collectively, the ""Company Employee Plans"").",employee-benefit-plans
"Employee Benefit Plans. Each Company and its ERISA Affiliates is in compliance in all material respects with the applicable provisions of ERISA and the Code and the regulations and published interpretations thereunder. No ERISA Event has occurred or is reasonably expected to occur that, when taken together with all other such ERISA Events, could reasonably be expected to result in material liability of any Company or any of its ERISA Affiliates or the imposition of a Lien on any of the property of any Company. The present value of all accumulated benefit obligations of all underfunded Plans (based on the assumptions used for purposes of Statement of Financial Accounting Standards No. 87) did not, as of the date of the most recent financial statements reflecting such amounts, exceed by more than $250,000 the fair market value of the property of all such underfunded Plans. Using actuarial assumptions and computation methods consistent with subpart I of subtitle E of Title IV of ERISA, the aggregate liabilities of each Company or its ERISA Affiliates to all Multiemployer Plans in the event of a complete withdrawal therefrom, as of the close of the most recent fiscal year of each such Multiemployer Plan, could not reasonably be expected to result in a Material Adverse Effect.",employee-benefit-plans
"Employee Benefit Plans. (a) Section 3.10 of the Disclosure Schedule contains a true and complete list of (i) all employee benefit plans (within the meaning of Section 3(3) of the Employee Retirement Income Security Act of 1974, as amended (""ERISA"")) and all bonus, stock option, stock purchase, restricted stock, incentive, deferred compensation, retiree medical or life insurance, supplemental retirement, severance or other benefit plans, programs or arrangements, and all employment, termination, severance or other contracts or agreements to which the Company or any Subsidiary is a party, with respect to which the Company or any Subsidiary has any obligation or which are maintained, contributed to or sponsored by the Company or any Subsidiary for the benefit of any current or former employee, officer or director of the Company or any Subsidiary and (ii) each employee benefit plan for which the Company or any Subsidiary could incur liability under Title IV of ERISA, or in respect of which the Company or any Subsidiary remains secondarily liable under Section 4204 of ERISA (collectively, the ""Plans""). Except as set forth in Section 3.10 of the Disclosure Schedule, no Plan is a ""defined benefit plan"" within the meaning of Section 3(35) of ERISA and no Plan is subject to Title IV of ERISA. Each Plan is in writing and the Company has previously furnished Parent with a true and complete copy of each Plan and a true and complete copy of each material document prepared in connection with each such Plan, including, without limitation, (i) a copy of each trust or other funding arrangement, (ii) each summary plan description and summary of material modifications, (iii) the most recently filed Internal Revenue Service (""IRS"") Form 5500, (iv) the most recently received IRS determination letter for each such Plan, and (v) the most recently prepared financial statement in connection with each such Plan. Except as set forth in Section 3.10 of the Disclosure Schedule, neither the Company nor any Subsidiary has any express or implied commitment (i) to create, incur liability with respect to or cause to exist any other employee benefit plan, program or arrangement, (ii) to enter into any contract or agreement to provide compensation or benefits to any individual or (iii) to modify, change or terminate any Plan, other than with respect to a modification, change or termination required by ERISA or the Internal Revenue Code of 1986, as amended (the ""Code"").",employee-benefit-plans
"Employee Benefit Plans. The Borrower will (a) promptly upon filing the same with the Department of Labor or Internal Revenue Service, furnish to the Administrative Agent a copy of the most recent actuarial statement required to be submitted under §103(d) of ERISA and Annual Report, Form 5500, with all required attachments, in respect of each Guaranteed Pension Plan, (b) promptly upon receipt or dispatch, furnish to the Administrative Agent any notice, report or demand sent or received in respect of a Guaranteed Pension Plan under §§302, 4041, 4042, 4043, 4063, 4065, 4066 and 4068 of ERISA, or in respect of a Multiemployer Plan, under §§4041A, 4202, 4219, 4242, or 4245 of ERISA.",employee-benefit-plans
"Employee Benefit Plans. (a) Each Plan has been administered in compliance with the applicable provisions of ERISA and the Code (and the regulations and published interpretations thereunder) except for such noncompliance that could not reasonably be expected to have a Material Adverse Effect. As of the Closing Date, the excess of the present value of all benefit liabilities under each Plan of the Borrower, and each Subsidiary of the Borrower and the ERISA Affiliates (based on those assumptions used to fund such Plan), as of the last annual valuation date applicable thereto for which a valuation is available, over the value of the assets of such Plan could not reasonably be expected to have a Material Adverse Effect, and the excess of the present value of all benefit liabilities of all underfunded Plans (based on those assumptions used to fund each such Plan) as of the last annual valuation dates applicable thereto for which valuations are available, over the value of the assets of all such underfunded Plans could not reasonably be expected to have a Material Adverse Effect. No ERISA Event has occurred or is reasonably expected to occur that, when taken together with all other ERISA Events which have occurred or for which liability is reasonably expected to occur, could reasonably be expected to result in a Material Adverse Effect.",employee-benefit-plans
"Employee Benefit Plans. (i) There shall occur one or more ERISA Events which individually or in the aggregate results in or could reasonably be expected to result in liability of Borrower, or any of its ERISA Affiliates in excess of $50,000,000 during the term hereof; or (ii) there exists any fact or circumstance that results in the imposition of a Lien or security interest pursuant to Section 430(k) of the Code or ERISA or a violation of Section 436 of the Code; or",employee-benefit-plans
