clause_text,clause_type
"Environmental Matters. (i) There are, to the Company’s knowledge, with respect to the Company or any of its Subsidiaries or any predecessor of the Company, no past or present violations of Environmental Laws (as defined below), releases of any material into the environment, actions, activities, circumstances, conditions, events, incidents, or contractual obligations which may give rise to any common law environmental liability or any liability under the Comprehensive Environmental Response, Compensation and Liability Act of 1980 or similar federal, state, local or foreign laws and neither the Company nor any of its Subsidiaries has received any notice with respect to any of the foregoing, nor is any action pending or, to the Company’s knowledge, threatened in connection with any of the foregoing. The term “",environmental-matters
"Environmental Matters. (a) Neither the Company nor any Subsidiary has knowledge of any claim or has received any notice of any claim, and no proceeding has been instituted raising any claim against the Company or any of its Subsidiaries or any of their respective real properties now or formerly owned, leased or operated by any of them or other assets, alleging any damage to the environment or violation of any Environmental Laws, except, in each case, such as could not reasonably be expected to result in a Material Adverse Effect.",environmental-matters
"Environmental Matters. (a) Except as set forth in Schedule 3.17 and except with respect to any other matters that, individually or in the aggregate, could not reasonably be expected to result in a Material Adverse Effect, none of Holdings, the Borrower or any of the Subsidiaries (i) has failed to comply with any Environmental Law or to obtain, maintain or comply with any permit, license or other approval required under any Environmental Law, (ii) has become subject to any Environmental Liability, (iii) has received notice of any claim with respect to any Environmental Liability or (iv) knows of any basis for any Environmental Liability.",environmental-matters
"Environmental Matters. Neither the Company nor any Subsidiary is in violation of any statute, rule, regulation, decision or order of any governmental agency or body or any court, domestic or foreign, relating to the use, disposal or release of hazardous or toxic substances or relating to the protection or restoration of the environment or human exposure to hazardous or toxic substances (collectively, “Environmental Laws”), owns or operates any real property contaminated with any substance that is subject to any Environmental Laws, is liable for any off-site disposal or contamination pursuant to any Environmental Laws, or is subject to any claim relating to any Environmental Laws, which violation, contamination, liability or claim has had or could reasonably be expected to have a Material Adverse Effect, individually or in the aggregate; and there is no pending or, to the Company’s Knowledge, threatened investigation that might lead to such a claim.",environmental-matters
"Environmental Matters. Except as, in the aggregate, could not reasonably be expected to have a Material Adverse Effect:",environmental-matters
"Environmental Matters. The Company has materially complied and is in material compliance with all Environmental Laws relating to the Business, which material compliance includes the possession by the Company of all Approvals required under Environmental Laws and material compliance with the terms and conditions thereof. Schedule 7.07 includes a list of all of the Approvals required under Environmental Laws necessary to own and operate the Assets or the Business as currently conducted. To the knowledge of the Company, there are no past or present facts, circumstances, conditions, activities or incidents that could give rise to any Liability, including any Liability for investigation costs, cleanup costs, response costs, remediation costs, corrective action costs, personal injury, property damage, natural resources damages or attorneys’ fees, or result in a claim against the Company, any of its Affiliates or Parent, Merger Sub or any of their respective Affiliates under any Environmental Law, arising from the operation of the Business. There is no Action pending or, to the knowledge of the Company, threatened or other written notice or claim of any violation, formal administrative proceeding or written information request by any Governmental Authority, nor has the Company or any of its Affiliates received written notice of any investigation by any Governmental Authority relating to any Environmental Law nor any other written notice or claim from a Governmental Authority or any Person alleging that the Company or any of its Affiliates is not in compliance with any Environmental Law or Approval required under any Environmental Law in connection with the Business or has any Liability under any Environmental Law or for the remediation of any Materials of Environmental Concern at any property in connection with the Business.",environmental-matters
"Environmental Matters. Except as to matters that would not reasonably be expected to have, individually or in the aggregate, a Material Adverse Effect: (i) no written notice, request for information, order, complaint or penalty has been received by the Borrower or any of its Subsidiaries, and there are no judicial, administrative or other actions, suits or proceedings pending or, to the Borrower’s knowledge, threatened which allege a violation of or liability under any Environmental Laws, in each case relating to the Borrower or any of its Subsidiaries, (ii) each of the Borrower and its Subsidiaries has all environmental permits, licenses and other approvals necessary for its operations to comply with all Environmental Laws (“Environmental Permits”) and is in compliance with the terms of such Environmental Permits and with all other Environmental Laws, (iii) no Hazardous Material is located at, on or under any property currently or, to the Borrower’s knowledge, formerly owned, operated or leased by the Borrower or any of its Subsidiaries that would reasonably be expected to give rise to any cost, liability or obligation of the Borrower or any of its Subsidiaries under any Environmental Laws or Environmental Permits, and no Hazardous Material has been generated, used, treated, stored, handled, disposed of or controlled, transported or Released at any location in a manner that would reasonably be expected to give rise to any cost, liability or obligation of the Borrower or any of its Subsidiaries under any Environmental Laws or Environmental Permits, (iv) there are no agreements in which the Borrower or any of its Subsidiaries has expressly assumed or undertaken responsibility for any known or reasonably likely liability or obligation of any other person arising under or relating to Environmental Laws, which in any such case has not been made available to the Administrative Agent prior to the Closing Date, and (v) there has been no material written environmental assessment or audit conducted (other than customary assessments not revealing anything that would reasonably be expected to result in a Material Adverse Effect), by or on behalf of the Borrower or any of the Subsidiaries of any property currently or, to the Borrower’s knowledge, formerly owned or leased by the Borrower or any of the Subsidiaries that has not been made available to the Administrative Agent prior to the Closing Date.",environmental-matters
"Environmental Matters. In the ordinary course of its business, the officers of the Borrower consider the effect of Environmental Laws on the business of the Borrower and its Subsidiaries, in the course of which they identify and evaluate potential risks and liabilities accruing to the Borrower due to Environmental Laws. On the basis of this consideration, the Borrower has concluded that Environmental Laws cannot reasonably be expected to have a Material Adverse Effect. Neither the Borrower nor any Subsidiary has received any notice to the effect that its operations are not in material compliance with any of the requirements of applicable Environmental Laws or are the subject of any federal or state investigation evaluating whether any remedial action is needed to respond to a release of any toxic or hazardous waste or substance into the environment, which non-compliance or remedial action could reasonably be expected to have a Material Adverse Effect.",environmental-matters
"Environmental Matters. In the ordinary course of its business, the Borrower conducts reviews, to the extent appropriate given the nature of its business operations, of the effect of Environmental Laws on the business, operations and properties of the Borrower and its Subsidiaries, in the course of which it identifies and evaluates associated liabilities and costs (including, without limitation, any capital or operating expenditures required for clean-up or closure of properties presently or previously owned, any capital or operating expenditures required to achieve or maintain compliance with environmental protection standards imposed by law or as a condition of any license, permit or contract, any related constraints on operating activities, including any periodic or permanent shutdown of any facility or reduction in the level of or change in the nature of operations conducted thereat, any costs or liabilities in connection with off-site disposal of wastes or Hazardous Substances, and any actual or potential liabilities to third parties, including employees, and any related costs and expenses). On the basis of this review, the Borrower has reasonably concluded that such associated liabilities and costs, including the cost of compliance with Environmental Laws, are unlikely to have a material adverse effect on the business, financial condition, results of operations or prospects of the Borrower and its Consolidated Subsidiaries, considered as a whole.",environmental-matters
"Environmental Matters. To the Company’s knowledge: (i) the Company and its Subsidiaries have complied with all applicable Environmental Laws; (ii) the properties currently owned or operated by Company (including soils, groundwater, surface water, buildings or other structures) are not contaminated with any Hazardous Substances; (iii) the properties formerly owned or operated by Company or its Subsidiaries were not contaminated with Hazardous Substances during the period of ownership or operation by Company and its Subsidiaries; (iv) Company and its Subsidiaries are not subject to liability for any Hazardous Substance disposal or contamination on any third party property; (v) Company and its Subsidiaries have not been associated with any release or threat of release of any Hazardous Substance; (vi) Company and its Subsidiaries have not received any notice, demand, letter, claim or request for information alleging that Company and its Subsidiaries may be in violation of or liable under any Environmental Law; and (vii) Company and its Subsidiaries are not subject to any orders, decrees, injunctions or other arrangements with any Governmental Authority or subject to any indemnity or other agreement with any third party relating to liability under any Environmental Law or relating to Hazardous Substances. As used in this Agreement, the term “Environmental Law” means any federal, state, local or foreign law, regulation, order, decree, permit, authorization, opinion, common law or agency requirement relating to: (A) the protection, investigation or restoration of the environment, health and safety, or natural resources; (B) the handling, use, presence, disposal, release or threatened release of any Hazardous Substance or (C) noise, odor, wetlands, pollution, contamination or any injury or threat of injury to persons or property. As used in this Agreement, the term “Hazardous Substance” means any substance that is: (i) listed, classified or regulated pursuant to any Environmental Law; (ii) any petroleum product or by-product, asbestos-containing material, lead-containing paint or plumbing, polychlorinated biphenyls, radioactive materials or radon; or (iii) any other substance which is the subject of regulatory action by any Governmental Authority pursuant to any Environmental Law.",environmental-matters
