clause_text,clause_type
"Documents. The Warrant Agent shall be protected and shall incur no liability for or in respect of any action taken or omitted by it in reliance upon any Warrant Certificate, notice, direction, consent, certificate, affidavit, statement or other paper or document reasonably believed by it to be genuine and to have been presented or signed by the proper parties.",documents
"Documents. The Fund has furnished or will furnish, upon request, ALPS with copies of the Fund’s Declaration of Trust, advisory agreement, custodian agreement, transfer agency agreement, administration agreement, current prospectus, statement of additional information, periodic Fund reports, and all forms relating to any plan, program or service offered by the Fund. The Fund shall furnish, within a reasonable time period, to ALPS a copy of any amendment or supplement to any of the above-mentioned documents. Upon request, the Fund shall furnish promptly to ALPS any additional documents necessary or advisable to perform its functions hereunder. As used in this Agreement the terms “registration statement,” “prospectus” and “statement of additional information” shall mean any registration statement, prospectus and statement of additional information filed by the Fund with the SEC and any amendments and supplements thereto that are filed with the SEC.",documents
"Documents. The Company has provided to Parent (i) correct and complete copies of all documents embodying or relating to each Company Employee Plan and each Employee Agreement including all amendments thereto and written interpretations thereof; (ii) the most recent annual actuarial valuations, if any, prepared for each Company Employee Plan; (iii) the three most recent annual reports (Series 5500 and all schedules thereto), if any, required under ERISA or the Code in connection with each Company Employee Plan or related trust; (iv) if the Company Employee Plan is funded, the most recent annual and periodic accounting of Company Employee Plan assets; (v) the most recent summary plan description together with the most recent summary of material modifications, if any, required under ERISA with respect to each Company Employee Plan; (vi) all IRS determination letters and rulings relating to Company Employee Plans and copies of all applications and correspondence to or from the IRS or the Department of Labor (""DOL"") with respect to any Company Employee Plan; (vii) all communications material to any Employee or Employees relating to any Company Employee Plan and any proposed Company Employee Plans, in each case, relating to any amendments, terminations, establishments, increases or decreases in benefits, acceleration of payments or vesting schedules or other events which would result in any material liability to the Company; and (viii) all registration statements and prospectuses prepared in connection with each Company Employee Plan.",documents
"Documents. The Manager has delivered to the Subadvisor copies of each of the following documents and will deliver to it all future amendments and supplements, if any:",documents
"Documents. The Trust has delivered properly certified or authenticated copies of each of the following documents to the Manager and will deliver to it all future amendments and supplements thereto, if any:",documents
"Documents. Agent shall not be under a duty to examine or pass upon the validity, effectiveness, enforceability, genuineness or value of any of the Loan Documents or any other instrument or document furnished pursuant thereto or in connection therewith, and Agent shall be entitled to assume that the same are valid, effective, enforceable and genuine and what they purport to be.",documents
"Documents. The Company will furnish from time to time such certificates, documents or opinions as the Transfer Agent deems to be appropriate or necessary for the proper performance of its duties.",documents
"Documents. Administrative Agent shall have received each of the following documents, each of which shall be reasonably satisfactory to the Administrative Agent (and to the extent specified below to each Lender) in form and substance:",documents
"Documents. The Administrative Agent shall be under no duty to examine, inquire into, or pass upon the validity, effectiveness or genuineness of this Agreement, any Note, any other Loan Document, or any instrument, document or communication furnished pursuant hereto or in connection herewith, and the Administrative Agent shall be entitled to assume that they are valid, effective and genuine, have been signed or sent by the proper parties and are what they purport to be.",documents
"Documents. The Company has provided to Parent: (i) correct and complete copies of all documents embodying each Employee Plan and each Employee Agreement including (without limitation) all amendments thereto and all related trust documents; (ii) the three (3) most recent annual reports (Form Series 5500 and all schedules and financial statements attached thereto), if any, required under ERISA or the Code in connection with each Employee Plan; (iii) if the Employee Plan is funded, the most recent annual and periodic accounting of Employee Plan assets; (iv) the most recent summary plan description together with the summary(ies) of material modifications thereto, if any, required under ERISA with respect to each Employee Plan; (v) all material written agreements and contracts relating to each Employee Plan, including, but not limited to, administrative service agreements and group insurance contracts; (vi) all communications material to any Employee or Employees relating to any Employee Plan and any proposed Employee Plans, in each case, relating to any amendments, terminations, establishments, increases or decreases in benefits, acceleration of payments or vesting schedules or other events which would result in any liability to the Company; (vii) all correspondence to or from any governmental agency relating to any Employee Plan; (viii) all COBRA forms and related notices; (ix) all policies pertaining to fiduciary liability insurance covering the fiduciaries for each Employee Plan; (x) all discrimination tests for each Employee Plan for the most recent plan year; and (xi) all registration statements, annual reports (Form 11-K and all attachments thereto) and prospectuses prepared in connection with each Employee Plan.",documents
Documents. (d) General Intangibles;,documents
"Documents. In connection with the appointing of Transfer Agent as the transfer agent and registrar for each Fund, the Fund will provide or has previously provided each of the following documents to the Transfer Agent:",documents
"Documents. In connection with the appointment of FTIS, the Investment Company shall, within a reasonable period of time for FTIS to prepare to perform its duties hereunder, deliver to FTIS the following documents:",documents
"Documents. Documents"" shall mean all original written, recorded, or graphic matters whatsoever, and any and all copies thereof, including, but not limited to: papers; books; records; tangible things; correspondence; communications; telex messages; memoranda; work-papers; reports; affidavits; statements; summaries; analyses; evaluations; client records and information; agreements; agendas; advertisements; instructions; charges; manuals; brochures; publications; directories; industry lists; schedules; price lists; client lists; statistical records; training manuals; computer printouts; books of account, records and invoices reflecting business operations; all things similar to any of the foregoing however denominated. In all cases where originals are not available, the term ""Documents"" shall also mean identical copies of original documents or non-identical copies thereof.",documents
Documents. Receivable File,documents
"Documents. All documents, certificates and other items required under this Loan Agreement to be executed and/or delivered to Bank shall be in form and content satisfactory to Bank and its counsel.",documents
Documents. The Company shall have received the following documents:,documents
"Documents. Executed originals of the agreements, instruments, certificates or documents described in Section 4.1.2 shall have been received by Mortgagee, except as specifically provided therein, unless the failure to receive any such agreement, instrument, certificate or document is the result of any action or inaction by Mortgagee.",documents
Documents. Retail Sale Contract,documents
"Documents. The Seller will provide: the deed, the bill of sale, mechanic’s lien affidavit, originals of those assignable service and maintenance contracts that will be assumed by the Buyer after the Closing, letters to each service contractor from the Seller advising each of them of the sale of the Property, and if applicable, the transfer of its contract, and any assignable warranties or guarantees received or held by the Seller from any manufacturer, contractor, subcontractor, or material supplier in connection with the Property; current copies of the condominium documents, if applicable; assignments of leases and updated rent roll; tenant and lender estoppel letters; tenant subordination, non-disturbance and attornment agreements (SNDA’s) required by the Buyer or the Buyer’s lender; assignments of permits and licenses; corrective instruments; and letters notifying tenants of the change in ownership/rental agent. If any tenant refuses to execute an estoppel letter, the Seller will certify to the buyer that the lease is correct. If the Seller is an entity, the Seller will deliver a resolution of its Board of Directors authorizing the sale and delivery of the deed and certification by the appropriate party certifying the resolution and setting forth facts showing the conveyance conforms to the requirements of local law. The Seller will transfer security deposits to the Buyer. The Buyer will provide the closing statement, mortgages and notes, security agreements, and financing statements.",documents
"Documents. A. In connection with the appointment of the Company under this Agreement, the Investment Company shall file with the Company the following documents:",documents
"Documents. The Global Agent shall be protected and shall incur no liability for or in respect of any action taken, omitted to be taken or anything suffered by it in reliance upon any Note, notice, direction, consent, certificate, affidavit, statement or other paper or document (including facsimile or electronic mail transmission) reasonably believed by it to be genuine and to have been signed or submitted by the proper parties. The Global Agent may conclusively rely and shall be fully protected in its reliance upon instructions which shall include any instructions given or confirmed in writing by facsimile or through a time-sharing terminal given by Issuer or the Exchange Administrator pursuant to this Agreement which the Global Agent believes in good faith to have been given by an Authorized Officer.",documents
"Documents. All documents, record, tapes and other media of any kind or description relating to the business of the Company or any of its subsidiaries (the “Documents”), whether or not prepared by the Executive, shall be the sole and exclusive property of the Company. The Documents (and any copies) shall be returned to the Company upon the Executive’s termination of employment for any reason or at such earlier time or times as the Board of Directors of the Company or its designee may specify.",documents
Documents. Data Tape,documents
"Documents. 9.1 In connection with the appointment of the Transfer Agent, each Fund shall, on or before the date this Agreement goes into effect, but in any case within a reasonable period of time for the Transfer Agent to prepare to perform its duties hereunder, deliver or cause to be delivered to the Transfer Agent the documents set forth in the written schedule of Fund Documents annexed hereto as Schedule F.",documents
Documents. Receivable File Data Tape,documents
"Documents. In connection with the appointment of the Transfer Agent, the Fund shall, on or before the date this Agreement goes into effect, but in any case, within a reasonable period of time for the Transfer Agent to prepare to perform its duties hereunder, furnish the Transfer Agent with the following documents:",documents
"Documents. All minutes, consents or other documents pertaining to ISSUER to be delivered at closing shall be valid and in accordance with the laws of Florida.",documents
"Documents. Upon termination of his employment with the Company, Executive will promptly deliver to the Company all memoranda, notes, records, reports, manuals, drawings, blueprints and other documents (and all copies thereof) relating to the business of the Company and all property associated therewith, which he may then possess or have under his control; provided, however, that Executive shall be entitled to retain copies of such documents reasonably necessary to document his financial relationship with the Company.",documents
"Documents. In connection with the appointment of the Transfer Agent, the Company shall, on or before the date this Agreement goes into effect, file with the Transfer Agent the following documents:",documents
Documents. Receivable File Imaging System Access,documents
Documents. Receivable File Dealer Agreement,documents
Documents. Contract,documents
