clause_text,clause_type
"Dispute Resolution. In the event of any controversy, dispute or claim between the parties under, arising out of or related to this Agreement (including but not limited to, claims relating to breach, termination of this Agreement, or the performance of a party under this Agreement) whether based on contract, tort, statute or other legal theory (collectively referred to hereinafter as “Disputes”), the parties shall follow the dispute resolution procedures set forth below. The parties shall first attempt to resolve a dispute, at the written request of either party, through discussions between the Executive and an authorized senior management representative of the Company. If a dispute is not resolved by the foregoing discussions between the senior management of the Company and the Executive within thirty (30) days, the parties agree, at the written request of either party, to submit the dispute to a sole mediator selected by the parties for settlement within an additional thirty-day period. To the extent any Dispute is not settled by mediation as outlined above, then any Dispute shall be finally settled by arbitration in accordance with the rules of the American Arbitration Association then in force, and that the arbitration hearings shall be held in Boston, Massachusetts. The parties agree to (i) appoint an arbitrator who is knowledgeable in employment and human resource matters and, to the extent possible, the industry in which the Company operates, and instruct the arbitrator to follow substantive rules of law; (ii) require the testimony to be transcribed; and (iii) require the award to be accompanied by findings of act and a statement of reasons for the decision. The arbitrator shall have the authority to permit discovery, to the extent deemed appropriate by the arbitrator, upon request of a party, but such discovery process shall continue for no more than thirty (30) days. The arbitrator shall have no power or authority to add to or detract from the written agreement of the parties. If the parties cannot agree upon an arbitrator within ten (10) days after demand by either of them, either or both parties may request the American Arbitration Association name a panel of five (5) arbitrators. The Company shall strike the names of two (2) off this list, the Executive shall also strike two (2) names, and the remaining name shall be the arbitrator. The parties shall stipulate that arbitration shall be completed within sixty (60) days. All costs and expenses, including attorneys’ a...",dispute-resolution
"Dispute Resolution. The parties (a) hereby irrevocably and unconditionally submit to the jurisdiction of the state courts of Delaware and to the jurisdiction of the United States District Court for the District of Delaware for the purpose of any suit, action or other proceeding arising out of or based upon this Agreement, (b) agree not to commence any suit, action or other proceeding arising out of or based upon this Agreement except in the state courts of Delaware or the United States District Court for the District of Delaware, and (c) hereby waive, and agree not to assert, by way of motion, as a defense, or otherwise, in any such suit, action or proceeding, any claim that it is not subject personally to the jurisdiction of the above-named courts, that its property is exempt or immune from attachment or execution, that the suit, action or proceeding is brought in an inconvenient forum, that the venue of the suit, action or proceeding is improper or that this Agreement or the subject matter hereof may not be enforced in or by such court.",dispute-resolution
"Dispute Resolution. If a dispute arises relating to this Agreement or the termination thereof, claims for breach of contract or breach of the covenant of good faith and fair dealing, claims of discrimination or any other claims under any federal, state or local law or regulation now in existence or hereinafter enacted, and as amended from time to time (“Dispute”), the parties shall attempt in good faith to settle the Dispute through mediation conducted by a mediator to be mutually selected by the parties. The parties shall share the costs of the mediator equally. Each party shall cooperate fully and fairly with the mediator, and shall reach a mutually satisfactory compromise of the Dispute. If the Dispute is not resolved within thirty (30) days after it is referred to the mediator, it shall be resolved through final and binding arbitration, as specified in this Section 13. Binding arbitration shall be conducted by the Judicial Arbitration and Mediation Services, Inc. (“JAMS”), sitting in Orange County, California, for resolution by a single arbitrator acceptable to both parties. If the parties fail to agree to an arbitrator within ten (10) days of a written demand for arbitration being sent by one party to the other party, then JAMS shall select the arbitrator according to the JAMS Rules for Commercial Arbitration. The arbitration shall be conducted pursuant to the California Code of Civil Procedure and the California Code of Evidence. The award of such arbitrator shall be final and binding on the parties, and may be enforced by any court of competent jurisdiction. In the event of arbitration to resolve a Dispute, the prevailing party shall be entitled to recover its attorney's fees and other out-of-pocket costs incurred in connection therewith from any non-prevailing party involved therein.",dispute-resolution
"Dispute Resolution. In the case of a dispute as to the determination of the Exercise Price or the arithmetic calculation of the Warrant Shares, the Company shall submit the disputed determinations or arithmetic calculations via facsimile or electronic mail within two (2) Business Days of receipt of the Exercise Notice or other event giving rise to such dispute, as the case may be, to the Holder. If the Holder and the Company are unable to agree upon such determination or calculation of the Exercise Price or the Warrant Shares within three (3) Business Days of such disputed determination or arithmetic calculation being submitted to the Holder, then the Company shall, within two (2) Business Days submit via facsimile or electronic mail (a) the disputed determination of the Exercise Price to an independent, reputable investment bank selected by the Company and approved by the Holder or (b) the disputed arithmetic calculation of the Warrant Shares to the Company’s independent, outside accountant. The Company shall cause at its expense the investment bank or the accountant, as the case may be, to perform the determinations or calculations and notify the Company and the Holder of the results no later than ten (10) Business Days from the time it receives the disputed determinations or calculations. Such investment bank’s or accountant’s determination or calculation, as the case may be, shall be binding upon all parties absent demonstrable error.",dispute-resolution
"Dispute Resolution. To ensure the timely and economical resolution of disputes that arise in connection with this Agreement, Executive and the Company agree that any and all disputes, claims, or causes of action arising from or relating to the enforcement, breach, performance or interpretation of this Agreement, Executive’s employment, or the termination of Executive’s employment, shall be resolved to the fullest extent permitted by law by final, binding and confidential arbitration, by a single arbitrator, in San Mateo County, California, conducted by Judicial Arbitration and Mediation Services, Inc. (“JAMS”) under the applicable JAMS employment rules. By agreeing to this arbitration procedure, both Executive and the Company waive the right to resolve any such dispute through a trial by jury or judge or administrative proceeding. The arbitrator shall: (i) have the authority to compel adequate discovery for the resolution of the dispute and to award such relief as would otherwise be permitted by law; and (ii) issue a written arbitration decision, to include the arbitrator’s essential findings and conclusions and a statement of the award. The arbitrator shall be authorized to award any or all remedies that Executive or the Company would be entitled to seek in a court of law. The Company shall pay all JAMS’ arbitration fees in excess of the amount of court fees that would be required if the dispute were decided in a court of law. Nothing in this Agreement is intended to prevent either Executive or the Company from obtaining injunctive relief in court to prevent irreparable harm pending the conclusion of any such arbitration. Notwithstanding the foregoing, Executive and the Company each have the right to resolve any issue or dispute over intellectual property rights by Court action instead of arbitration.",dispute-resolution
"Dispute Resolution. All or any disputes arising out or touching upon or in relation to the terms and conditions of this Agreement, including the interpretation and validity of the terms thereof and the respective rights and obligations of the Parties, shall be settled amicably by mutual discussion, failing which the same shall be settled through the adjudicating officer appointed under the Act.",dispute-resolution
"Dispute Resolution. The parties hereto shall initially attempt to resolve all claims, disputes or controversies arising under, out of or in connection with this Agreement by conducting good faith negotiations amongst themselves. If the parties hereto are unable to resolve the matter following good faith negotiations, the matter shall thereafter be resolved by binding arbitration and each party hereto hereby waives any right it may otherwise have to the resolution of such matter by any means other than binding arbitration pursuant to this Section 11.15. Whenever a party shall decide to institute arbitration proceedings, it shall provide written notice to that effect to the other parties hereto. The party giving such notice shall, however, refrain from instituting the arbitration proceedings for a period of sixty (60) days following such notice. During this period, the parties shall make good faith efforts to amicably resolve the claim, dispute or controversy without arbitration. Any arbitration hereunder shall be conducted in the English language under the commercial arbitration rules of the American Arbitration Association. Any such arbitration shall be conducted in Las Vegas, Nevada by a panel of three arbitrators: one arbitrator shall be appointed by each of Parent and Company; and the third shall be appointed by the American Arbitration Association. The panel of arbitrators shall have the authority to grant specific performance. Judgment upon the award so rendered may be entered in any court having jurisdiction or application may be made to such court for judicial acceptance of any award and an order of enforcement, as the case may be. In no event shall a demand for arbitration be made after the date when institution of a legal or equitable proceeding based on the claim, dispute or controversy in question would be barred under this Agreement or by the applicable statute of limitations. The prevailing party in any arbitration in accordance with this Section 11.15 shall be entitled to recover from the other party, in addition to any other remedies specified in the award, all reasonable costs, attorneys’ fees and other expenses incurred by such prevailing party to arbitrate the claim, dispute or controversy.",dispute-resolution
"Dispute Resolution. If an Asset Review Receivable that was reviewed by the Asset Representations Reviewer is the subject of a dispute resolution proceeding under Section 3.13 of the Sale and Servicing Agreement, the Asset Representations Reviewer will participate in the dispute resolution proceeding on request of a party to the proceeding. The reasonable out-of-pocket expenses of the Asset Representations Reviewer for its participation in any dispute resolution proceeding will be considered expenses of the requesting party for the dispute resolution and will be paid by a party to the dispute resolution as determined by the mediator or arbitrator for the dispute resolution according to Section 3.13 of the Sale and Servicing Agreement; provided, however, if such amounts are paid by the Trustee or the Trust Collateral Agent and are not reimbursed by directing Noteholders, the Trustee or Trust Collateral Agent, as applicable, shall be reimbursed by the Issuer pursuant to Section 5.7(a)(ii) of the Sale and Servicing Agreement without counting toward the calculation of any cap on fees, expenses or indemnities thereunder. If not paid by a party to the dispute resolution, the expenses will be reimbursed by the Issuer according to Section 4.3(d).",dispute-resolution
"Dispute Resolution. Any dispute, controversy or claim (each, a “Dispute”) arising out of or relating to this Agreement, or the interpretation, breach, termination, validity or invalidity thereof, shall be referred to arbitration upon the demand of either party to the dispute with notice (the “Arbitration Notice”) to the other. The Dispute shall be settled by arbitration in Hong Kong by the Hong Kong International Arbitration Centre (the “HKIAC”) in accordance with the Hong Kong International Arbitration Centre Administered Arbitration Rules (the “HKIAC Rules”) in force at the time when the Arbitration Notice is submitted. The seat of arbitration shall be Hong Kong. There shall be three (3) arbitrators. The complainant and the respondent to such dispute shall each select one arbitrator within thirty (30) days after giving or receiving the demand for arbitration (the “Selection Period”). Such arbitrators shall be freely selected, and the parties shall not be limited in their selection to any prescribed list. The chairman of the HKIAC shall select the third arbitrator. If either party to the arbitration fails to appoint an arbitrator with the Selection Period, the relevant appointment shall be made by the chairman of the HKIAC. The arbitral proceedings shall be conducted in English. To the extent that the HKIAC Rules are in conflict with the provisions of this Section 9.13, including the provisions concerning the appointment of the arbitrators, this Section 9.13 shall prevail. Each party to the arbitration shall cooperate with each other party to the arbitration in making full disclosure of and providing complete access to all information and documents requested by such other party in connection with such arbitral proceedings, subject only to any confidentiality obligations binding on such party. The award of the arbitral tribunal shall be final and binding upon the parties thereto, and the prevailing party may apply to a court of competent jurisdiction for enforcement of such award. Any party to the Dispute shall be entitled to seek preliminary injunctive relief, if possible, from any court of competent jurisdiction pending the constitution of the arbitral tribunal. During the course of the arbitral tribunal’s adjudication of the Dispute, this Agreement shall continue to be performed except with respect to the part in dispute and under adjudication.",dispute-resolution
"Dispute Resolution. In the event of any dispute arising out of or relating to any terms of this Agreement or any SOW shall be referred to and finally resolved by confidential arbitration administered under the Indian Arbitration and Conciliation Act, 1996 and its subsequent amendments in force when the notice of arbitration is submitted. The plaintiff party shall appoint one arbitrator from India out of minimum 3 options of arbitrators with mutual consent of the defendant party. The Arbitration proceedings shall be conducted in English. The principles of natural justice must be observed in the arbitration proceeding. The Parties shall be treated with equality and impartiality and each of them should be given an opportunity to present its case. The arbitrator/s shall not be bound by the strict rules of law and evidence and the Arbitral Tribunal shall be free to decide the matter as to do substantial justice between the parties. The seat of Arbitration shall be Ahmedabad. The cost of arbitration shall be borne by plaintiff party. The Arbitration award shall be final and binding to all the parties.",dispute-resolution
