clause_text,clause_type
"Environmental Laws. The Company and its Subsidiaries (i) are in compliance with all federal, state, local and foreign laws relating to pollution or protection of human health or the environment (including ambient air, surface water, groundwater, land surface or subsurface strata), including laws relating to emissions, discharges, releases or threatened releases of chemicals, pollutants, contaminants, or toxic or hazardous substances or wastes (collectively, “Hazardous Materials”) into the environment, or otherwise relating to the manufacture, processing, distribution, use, treatment, storage, disposal, transport or handling of Hazardous Materials, as well as all authorizations, codes, decrees, demands, or demand letters, injunctions, judgments, licenses, notices or notice letters, orders, permits, plans or regulations, issued, entered, promulgated or approved thereunder (“Environmental Laws”); (ii) have received all permits licenses or other approvals required of them under applicable Environmental Laws to conduct their respective businesses; and (iii) are in compliance with all terms and conditions of any such permit, license or approval where in each clause (i), (ii) and (iii), the failure to so comply could be reasonably expected to have, individually or in the aggregate, a Material Adverse Effect.",environmental-laws
"Environmental Laws. The Company and its Subsidiaries (i) are in compliance with any and all Environmental Laws (as hereinafter defined), (ii) have received all permits, licenses or other approvals required of them under applicable Environmental Laws to conduct their respective businesses and (iii) are in compliance with all terms and conditions of any such permit, license or approval where, in each of the foregoing clauses (i), (ii) and (iii), the failure to so comply could be reasonably expected to have, individually or in the aggregate, a Material Adverse Effect. The term “Environmental Laws” means all federal, state, local or foreign laws relating to pollution or protection of human health or the environment (including, without limitation, ambient air, surface water, groundwater, land surface or subsurface strata), including, without limitation, laws relating to emissions, discharges, releases or threatened releases of chemicals, pollutants, contaminants, or toxic or hazardous substances or wastes (collectively, “Hazardous Materials”) into the environment, or otherwise relating to the manufacture, processing, distribution, use, treatment, storage, disposal, transport or handling of Hazardous Materials, as well as all authorizations, codes, decrees, demands or demand letters, injunctions, judgments, licenses, notices or notice letters, orders, permits, plans or regulations issued, entered, promulgated or approved thereunder.",environmental-laws
"Environmental Laws. The Company and its Subsidiaries (i) are in compliance with any and all applicable foreign, federal, state and local laws and regulations relating to the protection of human health and safety, the environment or hazardous or toxic substances or wastes, pollutants or contaminants (“Environmental Laws”), (ii) have received all permits, licenses or other approvals required of them under applicable Environmental Laws to conduct their respective businesses and (iii) are in compliance with all terms and conditions of any such permit, license or approval, except where, in each of the three foregoing clauses, the failure to so comply could not reasonably be expected to have, individually or in the aggregate, a Material Adverse Effect.",environmental-laws
"Environmental Laws. The Company and its subsidiaries are (i) in compliance with any and all applicable material foreign, federal, state and local laws and regulations relating to the protection of human health and safety, the environment or hazardous or toxic substances or wastes, pollutants or contaminants (""Environmental Laws""), (ii) have received all permits, licenses or other approvals required of them under applicable Environmental Laws to conduct their respective businesses and (iii) are in compliance with all terms and conditions of any such permit, license or approval.",environmental-laws
"Environmental Laws. Except as set forth in the Registration Statement or the Prospectus, the Company and its Subsidiaries (i) are in compliance with any and all applicable federal, state, local and foreign laws, rules, regulations, decisions and orders relating to the protection of human health and safety, the environment or hazardous or toxic substances or wastes, pollutants or contaminants (collectively, “Environmental Laws”); (ii) have received and are in compliance with all permits, licenses or other approvals required of them under applicable Environmental Laws to conduct their respective businesses as described in the Registration Statement and the Prospectus; and (iii) have not received notice of any actual or potential liability for the investigation or remediation of any disposal or release of hazardous or toxic substances or wastes, pollutants or contaminants, except, in the case of any of clauses (i), (ii) or (iii) above, for any such failure to comply or failure to receive required permits, licenses, other approvals or liability as would not, individually or in the aggregate, reasonably be expected to have a Material Adverse Effect.",environmental-laws
"Environmental Laws. Except as described in the Registration Statement and except as would not, singly or in the aggregate, result in a Material Adverse Effect, (A) neither the Company nor any of its subsidiaries is in violation of any federal, state, local or foreign statute, law, rule, regulation, ordinance, code, policy or rule of common law or any judicial or administrative interpretation thereof, including any judicial or administrative order, consent, decree or judgment, relating to pollution or protection of human health, the environment (including, without limitation, ambient air, surface water, groundwater, land surface or subsurface strata) or wildlife, including, without limitation, laws and regulations relating to the release or threatened release of chemicals, pollutants, contaminants, wastes, toxic substances, hazardous substances, petroleum or petroleum products (collectively, ""Hazardous Materials"") or to the manufacture, processing, distribution, use, treatment, storage, disposal, transport or handling of Hazardous Materials (collectively, ""Environmental Laws""), (B) the Company and its subsidiaries have all permits, authorizations and approvals required under any applicable Environmental Laws and are each in compliance with their requirements, (C) there are no pending or threatened administrative, regulatory or judicial actions, suits, demands, demand letters, claims, liens, notices of noncompliance or violation, investigation or proceedings relating to any Environmental Law against the Company or any of its subsidiaries and (D) there are no events or circumstances that might reasonably be expected to form the basis of an order for clean-up or remediation, or an action, suit or proceeding by any private party or governmental body or agency, against or affecting the Company or any of its subsidiaries relating to Hazardous Materials or any Environmental Laws.",environmental-laws
"Environmental Laws. (a) Comply with, and ensure compliance by all tenants and subtenants, if any, with, all applicable Environmental Laws and obtain and comply in all material respects with and maintain, and ensure that all tenants and subtenants obtain and comply in all material respects with and maintain, any and all licenses, approvals, notifications, registrations or permits required by applicable Environmental Laws except to the extent that failure to do so could not be reasonably expected to have a Material Adverse Effect.",environmental-laws
"Environmental Laws. Except as described in the Registration Statement, the General Disclosure Package and the Prospectus or would not, singly or in the aggregate, result in a Material Adverse Effect, (A) neither the Company nor any of its subsidiaries is in violation of any applicable federal, state, local or foreign statute, law, rule, regulation, ordinance, code, policy or rule of common law or any judicial or administrative interpretation thereof, including any judicial or administrative order, consent, decree or judgment, relating to pollution or protection of human health, the environment (including, without limitation, ambient air, surface water, groundwater, land surface or subsurface strata) or wildlife, including, without limitation, laws and regulations relating to the release or threatened release of chemicals, pollutants, contaminants, wastes, toxic substances, hazardous substances, petroleum or petroleum products, asbestos-containing materials or mold (collectively, “Hazardous Materials”) or to the manufacture, processing, distribution, use, treatment, storage, disposal, transport or handling of Hazardous Materials (collectively, “Environmental Laws”), (B) the Company and its subsidiaries have all permits, authorizations and approvals required for their operations under any applicable Environmental Laws and are each in compliance with their requirements, (C) there are no pending or, to the knowledge of the Company, threatened administrative, regulatory or judicial actions, suits, demands, demand letters, claims, liens, notices of noncompliance or violation, investigation or proceedings relating to any Environmental Law against the Company or any of its subsidiaries and (D) there are no events or circumstances that, to the knowledge of the Company, would reasonably be expected to form the basis of an order for clean-up or remediation, or an action, suit or proceeding by any private party or Governmental Entity, against or affecting the Company or any of its subsidiaries relating to Hazardous Materials or any Environmental Laws.",environmental-laws
"Environmental Laws. Except as disclosed in the General Disclosure Package, neither the Company nor any of its subsidiaries is in violation of any statute, any rule, regulation, decision or order of any governmental agency or body or any court, domestic or foreign, relating to the use, disposal or release of hazardous or toxic substances or relating to the protection or restoration of the environment or human exposure to hazardous or toxic substances (collectively, “environmental laws”), owns or operates any real property contaminated with any substance that is subject to any environmental laws, is liable for any off-site disposal or contamination pursuant to any environmental laws, or is subject to any claim relating to any environmental laws, which violation, contamination, liability or claim would individually or in the aggregate have a Material Adverse Effect; and the Company is not aware of any pending investigation which might lead to such a claim.",environmental-laws
"Environmental Laws. (a) Comply in all material respects with, and ensure compliance in all material respects by all tenants and subtenants, if any, with, all applicable Environmental Laws, and obtain and comply in all material respects with and maintain, and ensure that all tenants and subtenants obtain and comply in all material respects with and maintain, any and all licenses, approvals, notifications, registrations or permits required by applicable Environmental Laws.",environmental-laws
