clause_text,clause_type
"Execution in Counterparts. This Agreement may be executed in any number of counterparts and by different parties hereto in separate counterparts, each of which when so executed shall be deemed to be an original and all of which taken together shall constitute one and the same agreement.",execution-in-counterparts
"Execution in Counterparts. This Agreement may be executed in any number of counterparts and by different parties hereto in separate counterparts, each of which when so executed shall be deemed to be an original and all of which taken together shall constitute one and the same agreement. Delivery of an executed counterpart of a signature page to this Agreement by telecopier shall be effective as delivery of a manually executed counterpart of this Agreement.",execution-in-counterparts
"Execution in Counterparts. This Agreement may be executed in several counterparts, each of which shall be an original and all of which shall constitute but one and the same instrument.",execution-in-counterparts
"Execution in Counterparts. This Agreement may be executed in one or more counterparts, and by the different parties hereto in separate counterparts, each of which shall be deemed to be an original, but all of which taken together shall constitute one and the same agreement, and shall become effective when one or more counterparts has been signed by each of the parties hereto and delivered to each of the other parties hereto. Delivery of a signed counterpart of this Agreement by facsimile or email/pdf transmission shall constitute valid and sufficient delivery thereof.",execution-in-counterparts
"Execution in Counterparts. This Indenture may be executed in any number of counterparts, each of which shall be an original, but such counterparts shall together constitute but one and the same instrument.",execution-in-counterparts
"Execution in Counterparts. This Agreement may be executed in one or more counterparts, each of which shall be deemed an original, but all of which together shall constitute one and the same document.",execution-in-counterparts
"Execution in Counterparts. This Amendment may be executed in any number of counterparts and by different parties hereto in separate counterparts, each of which when so executed shall be deemed to be an original and all of which taken together shall constitute but one and the same agreement. Delivery of an executed counterpart of a signature page to this Amendment by telecopier or electronic mail shall be effective as delivery of a manually executed counterpart of this Amendment.",execution-in-counterparts
"Execution in Counterparts. This Agreement may be executed in any number of counterparts, each of which shall be deemed to be an original as against any party whose signature appears thereon, and all of which shall together constitute one and the same instrument. This Agreement shall become binding when one or more counterparts hereof, individually or taken together, shall bear the signatures of all of the parties reflected hereon as the signatories.",execution-in-counterparts
"Execution in Counterparts. This IP Security Agreement may be executed in any number of counterparts, each of which when so executed shall be deemed to be an original and all of which taken together shall constitute one and the same agreement.",execution-in-counterparts
"Execution in Counterparts. This Agreement may be executed simultaneously in two or more counterparts, each of which taken together will constitute one and the same instrument.",execution-in-counterparts
"Execution in Counterparts. This Agreement may be executed in any number of counterparts, each of which shall be an original, but all of which together shall constitute one and the same agreement. This Agreement may be executed by facsimile signatures.",execution-in-counterparts
"Execution in Counterparts. This Amendment may be executed by the parties hereto in several counterparts, each of which shall be deemed to be an original and all of which shall constitute together but one and the same agreement.",execution-in-counterparts
"Execution in Counterparts. For the convenience of the Parties and to facilitate execution, this Agreement may be executed in one or more counterparts, each of which shall be deemed to be an original, but all of which together shall constitute but one and the same instrument.",execution-in-counterparts
"Execution in Counterparts. This Amendment may be executed in any number of counterparts and by different parties in separate counterparts, each of which when so executed shall be deemed to be an original and all of which taken together shall constitute one and the same agreement. Signature pages may be detached from multiple separate counterparts and attached to a single counterpart so that all signature pages are attached to the same document. Delivery of an executed counterpart by telecopy shall be effective as delivery of a manually executed counterpart of this Amendment.",execution-in-counterparts
"Execution in Counterparts. This Agreement and other Loan Documents may be executed in any number of counterparts, each of which when so executed and delivered shall be deemed to be an original and all of which counterparts, taken together, shall constitute but one and the same instrument.",execution-in-counterparts
"Execution in Counterparts. This Indenture may be executed in any number of counterparts, each of which shall be an original, but such counterparts shall together constitute but one and the same instrument. The exchange of copies of this Indenture and of signature pages by facsimile or PDF transmission shall constitute effective execution and delivery of this Indenture as to the parties hereto and may be used in lieu of the original Indenture for all purposes. Signatures of the parties hereto transmitted by facsimile or PDF shall be deemed to be their original signatures for all purposes.",execution-in-counterparts
"Execution in Counterparts. This First Supplemental Indenture may be executed in any number of counterparts and by different parties hereto in separate counterparts, each of which when so executed and delivered shall be deemed to be an original and all of which when taken together shall constitute but one and the same instrument.",execution-in-counterparts
"Execution in Counterparts. This Agreement may be executed in one or more counterparts, each of which shall be considered an original instrument, but all of which shall be considered one and the same agreement, and shall become binding when one or more counterparts have been signed by each of the parties hereto and delivered to each of Seller and Buyer.",execution-in-counterparts
"Execution in Counterparts. This Agreement may be executed in any number of counterparts and each of such counterparts shall for all purposes be deemed to be an original, and all such counterparts shall together constitute one and the same instrument.",execution-in-counterparts
